Drug_Name,Doxorubicin,Enzalutamide,Erlotinib,Everolimus,Fluorouracil,Gemcitabine,Ibrutinib,Imatinib,Ixazomib,Lapatinib,Lenalidomide,Letrozole,Lenvatinib,Lorlatinib,Methotrexate,Neratinib,Olaparib,Osimertinib,Paclitaxel,Palbociclib,Belzutifan,Zoledronic Acid,Vorinostat,Imiquimod,Idelalisib,Ceritinib,Loncastuximab Tesirine
PF-07104091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF-07248144,0.07905027942699311,0.23094872267076508,0.21412188058517423,0.038016490392930403,0.0,0.0,0.1598031431654879,0.16948153011260395,0.16359471809513917,0.08465221463589488,0.18275427622636484,0.20109957762755684,0.22164738208644863,0.14606085731395346,0.06227364341946933,0.22199169258291765,0.123251733983114,0.20141326478166127,0.19095340025924107,0.1856151693085471,0.0,0.10138051497347482,0.0,0.06265146333411069,0.045217062232475215,0.0,0.0
PF-07284892,0.0991074536838217,0.07238665062711616,0.0,0.0,0.0,0.0,0.050087370736082014,0.08499341440740077,0.0,0.0530653749871192,0.057280983375120255,0.08404130982638706,0.03969789465190151,0.09156020545525703,0.07807413554581848,0.0,0.05150800058614806,0.0,0.06840097000520534,0.09308428472919464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF-07220060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF-07799933,0.3484061462448362,0.9898275485513344,0.5108969371846709,0.07402830982207352,0.17249637902099532,0.17249637902099532,0.3568795609324477,0.49680472608217346,0.46211442729116037,0.2132576788398014,0.6486807535821104,0.5565052789830637,0.551181130200652,0.3679596515472293,0.19249870533698804,0.4322774045315544,0.6243278843544392,0.7229543307322664,0.4342468858060231,0.4463730898497703,0.0,0.19741507158623464,0.0,0.12199921377714315,0.08804975571369762,0.0,0.0
PF-07799544,0.3484061462448362,0.9898275485513344,0.5108969371846709,0.07402830982207352,0.17249637902099532,0.17249637902099532,0.3568795609324477,0.49680472608217346,0.46211442729116037,0.2132576788398014,0.6486807535821104,0.5565052789830637,0.551181130200652,0.3679596515472293,0.19249870533698804,0.4322774045315544,0.6243278843544392,0.7229543307322664,0.4342468858060231,0.4463730898497703,0.0,0.19741507158623464,0.0,0.12199921377714315,0.08804975571369762,0.0,0.0
Tucatinib,0.03392084657803112,0.09910118276485474,0.09188070571005534,0.016313054772244692,0.0,0.0,0.06857228008928049,0.21837866488082505,0.07019926271869156,0.03632466331515882,0.07842071919655762,0.08629277428312171,0.15008596652311648,0.21958226386363838,0.13484367302419548,0.09525767904030076,0.05288789855295446,0.20916150294568536,0.08193900186942661,0.07964834186937157,0.09240114952725281,0.04350285564256651,0.0,0.02688403748918093,0.019402854003996522,0.0,0.0
